,Unnamed: 0,breaks,wool,tension
0,1,26,A,L
1,2,30,A,L
2,3,54,A,L
3,4,25,A,L
4,5,70,A,L
5,6,52,A,L
6,7,51,A,L
7,8,26,A,L
8,9,67,A,L
9,10,18,A,M
10,11,21,A,M
11,12,29,A,M
12,13,17,A,M
13,14,12,A,M
14,15,18,A,M
15,16,35,A,M
16,17,30,A,M
17,18,36,A,M
18,19,36,A,H
19,20,21,A,H
20,21,24,A,H
21,22,18,A,H
22,23,10,A,H
23,24,43,A,H
24,25,28,A,H
25,26,15,A,H
26,27,26,A,H
27,28,27,B,L
28,29,14,B,L
29,30,29,B,L
30,31,19,B,L
31,32,29,B,L
32,33,31,B,L
33,34,41,B,L
34,35,20,B,L
35,36,44,B,L
36,37,42,B,M
37,38,26,B,M
38,39,19,B,M
39,40,16,B,M
40,41,39,B,M
41,42,28,B,M
42,43,21,B,M
43,44,39,B,M
44,45,29,B,M
45,46,20,B,H
46,47,21,B,H
47,48,24,B,H
48,49,17,B,H
49,50,13,B,H
50,51,15,B,H
51,52,15,B,H
52,53,16,B,H
53,54,28,B,H
